activity	time	p	p_peak	p_smooth
Golfing	1490.0	1.676041947892501e-5	0.007148071514001951	0.007148071514001951
Playing volleyball	1490.0	0.0	0.0	0.0
Boating	1490.0	2.0182704084569382e-5	0.029966048552979005	0.029966048552979005
Playing baseball	1490.0	0.0	0.0	0.0
Running	1495.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Playing racquet sports	1495.0	0.0	0.0	0.0
Weightlifting/strength training	1495.0	1.6187705415223663e-5	0.01011513304875973	0.012781839031770867
Hiking	1495.0	0.0	0.0	0.0
Biking	1495.0	2.7132082955678173e-6	0.003269747133607591	0.0032697471336075915
Walking	1495.0	4.514496567207935e-5	0.009764165325125158	0.01111001691110286
Using cardiovascular equipment	1495.0	2.77542516644577e-5	0.02082429015842569	0.02082429015842569
Participating in water sports	1495.0	1.8771218776835163e-5	0.005859398817508208	0.005859398817508208
Playing basketball	1495.0	1.9048457175229543e-5	0.009114713741745857	0.009114713741745857
Working out, unspecified	1495.0	8.01021251060432e-5	0.02304090320107321	0.022105517866312666
Skiing, ice skating, snowboarding	1495.0	0.0	0.0	0.0
Doing yoga	1495.0	0.0	0.0	0.0
Playing billiards	1495.0	2.5960479800372406e-4	0.3166798568164545	0.32848019536805806
Fishing	1495.0	1.109887148942486e-4	0.06640267125291618	0.06605495252582395
Dancing	1495.0	5.053981752316191e-4	0.6779624615678709	0.6788014787914657
Playing football	1495.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Vehicle touring/racing	1495.0	2.6227359899750167e-5	0.06539284402031088	0.06539284402031088
Softball	1495.0	0.0	0.0	0.0
Playing soccer	1495.0	0.0	0.0	0.0
Doing aerobics	1495.0	0.0	0.0	0.0
Hunting	1495.0	3.3581461658357954e-5	0.030898502963775578	0.030898502963775578
Participating in martial arts	1495.0	0.0	0.0	0.0
Bowling	1495.0	1.0196733311384763e-4	0.08271870338557653	0.08271870338557653
Rollerblading	1495.0	0.0	0.0	0.0040565898162288625
Golfing	1495.0	1.676041947892501e-5	0.007148071514001951	0.007148071514001951
Playing volleyball	1495.0	0.0	0.0	0.008191575298848952
Boating	1495.0	2.0182704084569382e-5	0.029966048552979005	0.029966048552979005
Playing baseball	1495.0	0.0	0.0	0.0
Running	1500.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Playing racquet sports	1500.0	0.0	0.0	0.0
Weightlifting/strength training	1500.0	2.7156566330750503e-5	0.016969192021784443	0.012092303701018327
Hiking	1500.0	0.0	0.0	0.0
Biking	1500.0	2.7132082955678173e-6	0.003269747133607591	0.0032697471336075915
Walking	1500.0	6.275508664556233e-5	0.013572965044445487	0.012317039380016943
Using cardiovascular equipment	1500.0	2.77542516644577e-5	0.02082429015842569	0.022089440780299587
Participating in water sports	1500.0	1.8771218776835163e-5	0.005859398817508208	0.00540985728707979
Playing basketball	1500.0	1.9048457175229543e-5	0.009114713741745857	0.007779422013650584
Working out, unspecified	1500.0	7.034647198079714e-5	0.020234747196791577	0.02071130766709704
Skiing, ice skating, snowboarding	1500.0	0.0	0.0	0.0
Doing yoga	1500.0	0.0	0.0	0.0
Playing billiards	1500.0	2.650738141406201e-4	0.32335125603741294	0.3026919669333584
Fishing	1500.0	1.0924513196589153e-4	0.06535951507163949	0.05179925121317341
Dancing	1500.0	5.072745524552729e-4	0.6804795132386554	0.6292392391884636
Playing football	1500.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Vehicle touring/racing	1500.0	2.6227359899750167e-5	0.06539284402031088	0.06414159800665645
Softball	1500.0	0.0	0.0	0.0
Playing soccer	1500.0	0.0	0.0	0.0
Doing aerobics	1500.0	0.0	0.0	0.0
Hunting	1500.0	3.3581461658357954e-5	0.030898502963775578	0.033598160375294395
Participating in martial arts	1500.0	0.0	0.0	0.0
Bowling	1500.0	1.0196733311384763e-4	0.08271870338557653	0.0719675874956782
Rollerblading	1500.0	3.875126569716477e-6	0.012169769448686588	0.008113179632457725
Golfing	1500.0	1.676041947892501e-5	0.007148071514001951	0.007148071514001951
Playing volleyball	1500.0	1.1670868014120557e-5	0.024574725896546856	0.016383150597697904
Boating	1500.0	2.0182704084569382e-5	0.029966048552979005	0.029966048552979005
Playing baseball	1500.0	0.0	0.0	0.0
Running	1505.0	6.45223543281662e-5	0.04402262110550772	0.0465172501017741
Playing racquet sports	1505.0	0.0	0.0	0.0
Weightlifting/strength training	1505.0	1.4711311653644596e-5	0.00919258603251081	0.012565255703145747
Hiking	1505.0	0.0	0.0	0.0
Biking	1505.0	2.7132082955678173e-6	0.003269747133607591	0.0032697471336075915
Walking	1505.0	6.294475667847812e-5	0.01361398777048019	0.013441306196160146
Using cardiovascular equipment	1505.0	3.281276388539783e-5	0.024619742024047372	0.02335459140217348
Participating in water sports	1505.0	1.4450753821421678e-5	0.004510774226222953	0.004960315756651371
Playing basketball	1505.0	1.067674698671326e-5	0.005108838557460039	0.006444130285555312
Working out, unspecified	1505.0	6.556113265964166e-5	0.018858272603426332	0.017912811472377395
Skiing, ice skating, snowboarding	1505.0	0.0	0.0	0.0
Doing yoga	1505.0	0.0	0.0	0.0
Playing billiards	1505.0	2.197352042856889e-4	0.2680447879462079	0.28234500002854385
Fishing	1505.0	3.950565832047329e-5	0.023635567314964544	0.03754354990052286
Dancing	1505.0	3.945572354641512e-4	0.5292757427588646	0.5727713208522113
Playing football	1505.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Vehicle touring/racing	1505.0	2.4721833721088335e-5	0.061639105979347575	0.06289035199300201
